"id","nomor_ulok","lingkup_pekerjaan","nama_toko","kode_toko","proyek","cabang","alamat","nama_kontraktor"
1421,TZ01-2604-AC92-R,ME,Pahlawan Seribu OLD,,Renovasi,BALARAJA,"Jl. Pahlawan Seribu Kel. Lengkong Gudang, Kec. Serpong Utara, Kota Tangerang Selatan",PT ONTOSENO BAYUAJI
1422,"1SZ1-1S38-0000-R",ME,ALFAMART SEKOTONG,,Renovasi,LOMBOK,JLN RAYA SEKOTONG KELURAHAN SEKOTONG TENGAH KECAMATAN SEKOTONG KAB LOMBOK BARAT,NAMA PT TIDAK DITEMUKAN
1423,"2VZ1-2603-0005",ME,RADDA LUTRA,,Alfamart Reguler,LUWU,JL. POROS PALOPO MASAMBA,PT SOLUSI HIDUP MANDIRI
1424,"1SZ1-2603-0001",Sipil,ALFAMART TALOKO,,Alfamart Reguler,SUMBAWA,Jl. Bima-Sanggar Desa Taloko Kec. Sanggar Kab. Bima,CV ADI MAS
1425,"2SZ1-2603-0007",Sipil,Pancawardana,,Alfamart Reguler,GORONTALO,"Jl. Pancawardana, Kel. Padebuolo, Kec. Kota Timur, Kota Gorontalo",CV EVLOGJA JAYA
1426,"2SZ1-2603-0007",ME,Pancawardana,,Alfamart Reguler,GORONTALO,"Jl. Pancawardana, Kel. Padebuolo, Kec. Kota Timur, Kota Gorontalo",CV EVLOGJA JAYA
1427,"1MZ1-2604-1M8U-R",Sipil,srengseng sawah 3,,Renovasi,PARUNG,"JL. SRENGSENG NO. 87, RT. 002, RW. 07, KEL. SRENGSENG SAWAH, KEC. JAGAKARSA, JAKARTA SELATAN",PT SAGAR PUTRA KREASI
1428,RZ01-2512-0003,ME,TAROADA MAROS,,Alfamart Reguler,MAKASSAR,Jl. Poros Maros - Makassar Kel. Taroada Kec. Turikale Kab. Luwu,CV ABADI TEKNIK
1429,WZ01-2604-W487-R,ME,Jl Ahmad Yani - Langsa,,Renovasi,MEDAN,Jl Ahmad Yani Langsa Aceh,CV MUTIARA BIRO JASA
1430,CZ01-2604-0002,Sipil,TAMAN NAROGONG,,Alfamart Reguler,BEKASI,JL. TAMAN NAROGONG INDAH KEL. PENGASINAN KEC. RAWALUMBU,PT CITRA PARTSINDO SWADANA MANDIRI
1432,JZ01-2604-JA77-R,ME,H MIRAN,,Renovasi,CILEUNGSI,Jl. H Miran No. 16 Rt. 001 Rw. 011 Kel. Pondok Kelapa Kec. Duren Sawit Jakarta Timur,PT KREASI PRIMATAMA MANDIRI
1433,WZ01-2601-0003-R,Sipil,JALAN PANTAI LABU,,Renovasi,MEDAN,JLN PANTAI LABU DESA SEKIP KEC LUBUK PAKAM KABUPATEN DELI SERDANG,CV KARINA SUITO
1434,"2VZ1-2603-0001",Sipil,BULU CENRANA SIDRAP,,Alfamart Reguler,LUWU,Jl. Bulu Cenrana Kab. Sidrap,CV ABADI TEKNIK
1435,WZ01-2601-0003,Sipil,JALAN PANTAI LABU,,Alfamart Reguler,MEDAN,JLN PANTAI LABU DESA SEKIP KEC LUBUK PAKAM KABUPATEN DELI SERDANG,CV KARINA SUITO
1436,"2JZ1-2106-0008-R",Sipil,JL PRAMUKA,,Renovasi,CIANJUR,"JL PRAMUKA RT 002 RW 010, DES BOJONG, KEC KARANG TENGAH, KAB CIANJUR",PT TUNAS BERKAT SENTOSA
1438,"2JZ1-2106-0008-R",ME,JL PRAMUKA CIANJUR,,Renovasi,CIANJUR,"JL. PRAMUKA RT 002 RW 010, DESA BOJONG, KEC KARANG TENGAH, KAB CIANJUR",PT TUNAS BERKAT SENTOSA
1439,"1SZ1-2602-0004-R",Sipil,ALFAMART BEBUAK KOPANG,,Renovasi,LOMBOK,JL PURBAYA DUSUN GERIA DESA BEBUAK KEC KOPANG KAB LOMBOK TENGAH,NAMA PT TIDAK DITEMUKAN
1440,PZ01-2604-P139-R,Sipil,KEBUN BUNGA,,Renovasi,PALEMBANG,JL. KEBUN BUNGA NO. 1A RT 55 KEL. KEBUN BUNGA KEC. SUKARAMI KOTA PALEMBANG,CV KRIDA ARTI
